Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
NA,12,Very Happy,2,2000
27,11,Very Happy,2,2000
35,13,Very Happy,2,2000
25,12,Very Happy,2,2000
48,12,Pretty Happy,2,2000
NA,11,Pretty Happy,2,2000
38,12,Pretty Happy,2,2000
36,12,Very Happy,2,2000
34,16,Pretty Happy,2,2000
47,16,Pretty Happy,2,2000
48,13,Pretty Happy,2,2000
36,14,Very Happy,2,2000
64,14,Pretty Happy,2,2000
72,12,Pretty Happy,2,2000
47,14,Pretty Happy,2,2000
60,13,Very Happy,2,2000
38,11,Pretty Happy,2,2000
17,12,Very Happy,2,2000
28,9,Not Too Happy,2,2000
74,11,Very Happy,2,2000
61,17,Very Happy,2,2000
61,16,Pretty Happy,2,2000
39,16,Pretty Happy,2,2000
43,16,Pretty Happy,2,2000
31,12,Pretty Happy,2,2000
43,16,Pretty Happy,2,2000
37,12,Very Happy,2,2000
55,15,Pretty Happy,2,2000
35,12,Pretty Happy,2,2000
46,16,Pretty Happy,2,2000
46,16,Very Happy,2,2000
52,14,Pretty Happy,2,2000
45,12,Pretty Happy,2,2000
64,15,Very Happy,2,2000
38,12,Pretty Happy,2,2000
22,17,Pretty Happy,2,2000
38,12,Pretty Happy,2,2000
38,13,Pretty Happy,2,2000
43,15,Very Happy,2,2000
47,16,Very Happy,2,2000
31,10,Very Happy,2,2000
35,12,Pretty Happy,2,2000
69,12,Pretty Happy,2,2000
NA,12,Pretty Happy,2,2000
31,12,Pretty Happy,2,2000
48,15,Pretty Happy,2,2000
46,10,Very Happy,2,2000
64,15,Very Happy,2,2000
37,12,Not Too Happy,2,2000
31,12,Pretty Happy,2,2000
22,12,Pretty Happy,2,2000
41,12,Pretty Happy,2,2000
32,8,Not Too Happy,2,2000
26,14,Pretty Happy,2,2000
33,8,Not Too Happy,2,2000
39,16,Very Happy,2,2000
45,14,Pretty Happy,2,2000
41,13,Pretty Happy,2,2000
47,12,Very Happy,2,2000
50,14,Pretty Happy,2,2000
28,15,Pretty Happy,2,2000
16,13,Very Happy,2,2000
47,13,Pretty Happy,2,2000
32,11,Not Too Happy,2,2000
NA,14,Very Happy,2,2000
74,16,Very Happy,2,2000
38,14,Pretty Happy,2,2000
61,16,Not Too Happy,2,2000
64,15,Pretty Happy,2,2000
22,12,Pretty Happy,2,2000
47,14,Pretty Happy,2,2000
47,14,Pretty Happy,2,2000
50,12,Pretty Happy,2,2000
39,14,Very Happy,2,2000
NA,12,Not Too Happy,2,2000
38,14,Pretty Happy,2,2000
33,12,Pretty Happy,2,2000
53,11,Very Happy,2,2000
47,14,Pretty Happy,2,2000
25,9,Not Too Happy,2,2000
62,13,Pretty Happy,2,2000
25,11,Pretty Happy,2,2000
33,11,Pretty Happy,2,2000
39,12,Pretty Happy,2,2000
22,11,Pretty Happy,2,2000
38,20,Very Happy,2,2000
61,16,Very Happy,2,2000
54,16,Pretty Happy,2,2000
47,12,Not Too Happy,2,2000
61,14,Pretty Happy,2,2000
48,13,Pretty Happy,2,2000
39,14,Pretty Happy,2,2000
44,14,Very Happy,2,2000
31,12,Pretty Happy,2,2000
17,14,Pretty Happy,2,2000
48,12,Pretty Happy,2,2000
48,13,Pretty Happy,2,2000
49,8,Pretty Happy,2,2000
59,13,Pretty Happy,2,2000
28,12,Pretty Happy,2,2000
38,12,Very Happy,2,2000
28,13,Pretty Happy,2,2000
47,14,Pretty Happy,2,2000
21,13,Very Happy,2,2000
28,14,Not Too Happy,2,2000
53,12,Pretty Happy,2,2000
24,12,Pretty Happy,2,2000
28,12,Pretty Happy,2,2000
39,16,Pretty Happy,2,2000
37,13,Pretty Happy,2,2000
21,11,Pretty Happy,2,2000
40,14,Very Happy,2,2000
48,12,Pretty Happy,2,2000
NA,8,Very Happy,2,2000
42,12,Pretty Happy,2,2000
36,13,Very Happy,2,2000
48,16,Very Happy,2,2000
24,NA,Pretty Happy,2,2000
47,16,Not Too Happy,2,2000
51,12,Pretty Happy,2,2000
55,2,Not Too Happy,2,2000
50,6,Pretty Happy,2,2000
67,16,Pretty Happy,2,2000
NA,10,Pretty Happy,2,2000
25,10,Very Happy,2,2000
34,13,Pretty Happy,2,2000
NA,8,Pretty Happy,2,2000
39,12,Pretty Happy,2,2000
48,16,Pretty Happy,2,2000
60,20,NA,2,2000
35,12,Pretty Happy,2,2000
54,20,Very Happy,2,2000
48,20,Very Happy,2,2000
54,18,Very Happy,2,2000
64,16,Pretty Happy,2,2000
30,13,Very Happy,2,2000
64,18,Not Too Happy,2,2000
NA,12,Very Happy,2,2000
38,15,Very Happy,2,2000
22,12,Pretty Happy,2,2000
60,12,Very Happy,2,2000
49,17,Not Too Happy,2,2000
49,16,Pretty Happy,2,2000
22,12,Not Too Happy,2,2000
25,9,Pretty Happy,2,2000
47,12,Very Happy,2,2000
NA,14,Pretty Happy,2,2000
38,14,Very Happy,2,2000
NA,11,Not Too Happy,2,2000
35,12,Pretty Happy,2,2000
33,14,Pretty Happy,2,2000
47,14,Pretty Happy,2,2000
35,10,Pretty Happy,2,2000
50,4,Pretty Happy,2,2000
47,14,Pretty Happy,2,2000
36,12,Very Happy,2,2000
53,12,Very Happy,2,2000
69,15,Not Too Happy,2,2000
25,9,Very Happy,2,2000
47,13,Pretty Happy,2,2000
51,12,Pretty Happy,2,2000
25,12,Not Too Happy,2,2000
47,13,Very Happy,2,2000
25,7,Not Too Happy,2,2000
64,16,Pretty Happy,2,2000
38,14,Not Too Happy,2,2000
48,12,Pretty Happy,2,2000
31,12,Not Too Happy,2,2000
31,12,Pretty Happy,2,2000
54,19,Pretty Happy,2,2000
45,13,Pretty Happy,2,2000
46,12,Pretty Happy,2,2000
31,12,Pretty Happy,2,2000
45,13,Not Too Happy,2,2000
47,13,Pretty Happy,2,2000
47,16,Pretty Happy,2,2000
49,8,Very Happy,2,2000
60,16,Very Happy,2,2000
47,16,Pretty Happy,2,2000
46,16,Pretty Happy,2,2000
46,16,Pretty Happy,2,2000
55,18,Pretty Happy,2,2000
33,15,Pretty Happy,2,2000
38,13,Pretty Happy,2,2000
48,6,Very Happy,2,2000
32,13,Pretty Happy,2,2000
45,16,Very Happy,2,2000
45,11,Pretty Happy,2,2000
64,14,Pretty Happy,2,2000
28,12,Pretty Happy,2,2000
38,16,Pretty Happy,2,2000
51,20,Pretty Happy,2,2000
38,12,Not Too Happy,2,2000
35,12,Pretty Happy,2,2000
25,8,Pretty Happy,2,2000
48,14,Pretty Happy,2,2000
26,10,Pretty Happy,2,2000
59,15,Pretty Happy,2,2000
25,12,Pretty Happy,2,2000
33,9,Not Too Happy,2,2000
NA,10,Pretty Happy,2,2000
33,8,Very Happy,2,2000
28,14,Very Happy,2,2000
25,12,Not Too Happy,2,2000
25,10,Pretty Happy,2,2000
25,13,Pretty Happy,2,2000
25,12,Pretty Happy,2,2000
46,14,Pretty Happy,2,2000
40,12,Pretty Happy,2,2000
51,16,Pretty Happy,2,2000
38,12,Pretty Happy,2,2000
28,15,Pretty Happy,2,2000
26,12,Not Too Happy,2,2000
40,14,Very Happy,2,2000
53,16,Very Happy,2,2000
64,18,Pretty Happy,2,2000
47,12,Very Happy,2,2000
33,13,Very Happy,2,2000
29,12,Not Too Happy,2,2000
61,17,Pretty Happy,2,2000
47,16,Pretty Happy,2,2000
51,13,Very Happy,2,2000
31,12,Very Happy,2,2000
30,12,Not Too Happy,2,2000
48,13,Very Happy,2,2000
NA,12,Pretty Happy,2,2000
49,12,Very Happy,2,2000
47,10,Very Happy,2,2000
61,16,Pretty Happy,2,2000
41,12,Very Happy,2,2000
47,13,Very Happy,2,2000
36,14,Very Happy,2,2000
33,12,Pretty Happy,2,2000
35,14,Very Happy,2,2000
64,15,Very Happy,2,2000
38,15,Pretty Happy,2,2000
47,12,Pretty Happy,2,2000
35,12,Pretty Happy,2,2000
45,16,Very Happy,2,2000
48,17,Pretty Happy,2,2000
45,13,Very Happy,2,2000
31,12,Pretty Happy,2,2000
41,20,NA,2,2000
38,18,Pretty Happy,2,2000
25,11,Pretty Happy,2,2000
46,12,Not Too Happy,2,2000
53,17,Not Too Happy,2,2000
31,12,Pretty Happy,2,2000
31,12,Very Happy,2,2000
45,14,Pretty Happy,2,2000
21,12,Pretty Happy,2,2000
60,16,Pretty Happy,2,2000
NA,10,Pretty Happy,2,2000
55,12,Pretty Happy,2,2000
35,8,Very Happy,2,2000
NA,10,Pretty Happy,2,2000
NA,10,Pretty Happy,2,2000
25,9,Not Too Happy,2,2000
28,12,Pretty Happy,2,2000
38,12,Very Happy,2,2000
50,12,Pretty Happy,2,2000
53,12,Pretty Happy,2,2000
40,12,Pretty Happy,2,2000
